epoch,train_loss,train_MAE,train_RMSE,train_R2,val_loss,val_MAE,val_RMSE,val_R2,lr,time_s
110,62.7409,5.5415,7.9161,0.7558,55.8301,4.7835,7.4599,0.7841,1.46484375e-08,48.03
111,63.3258,5.6434,7.9604,0.7531,52.7756,4.7738,7.2504,0.796,1.46484375e-08,48.59
112,61.5948,5.5487,7.8451,0.7602,49.9646,4.7227,7.0584,0.8067,1.46484375e-08,48.91
113,58.4612,5.488,7.6495,0.772,52.524,4.9333,7.2381,0.7967,1.46484375e-08,48.98
114,61.6475,5.4735,7.856,0.7595,51.9813,4.6425,7.1984,0.7989,1.46484375e-08,48.26
115,59.3192,5.4476,7.6822,0.77,52.6679,4.5745,7.2422,0.7965,1.46484375e-08,49.99
116,57.376,5.3596,7.5676,0.7768,52.1782,4.6592,7.2112,0.7982,1.46484375e-08,48.77
117,60.3221,5.4518,7.7683,0.7648,51.4457,4.5803,7.153,0.8015,1.46484375e-08,49.04
118,60.9953,5.5532,7.8087,0.7624,49.931,4.6564,7.0524,0.807,1.46484375e-08,48.65
119,59.1662,5.453,7.6375,0.7727,53.0008,4.7335,7.2693,0.795,1.46484375e-08,48.78
120,59.3581,5.5297,7.7038,0.7687,52.8453,4.9979,7.2617,0.7954,1.46484375e-08,48.55
121,57.4729,5.3844,7.5894,0.7756,48.0971,4.6827,6.9245,0.8139,1.46484375e-08,48.67
122,59.2983,5.3378,7.7113,0.7683,51.2775,4.7477,7.1464,0.8018,1.46484375e-08,49.29
